input,output,instruction
What is the attendance requirement for students in lectures labs tutorials seminars and discussions?,Students are required to maintain 100% attendance in lectures labs tutorials seminars and discussions as prescribed by the course instructor.,
How much absence can be condoned for genuine reasons?,Absence of a maximum of 20% of the total lectures may be condoned for genuine reasons such as illness.,
What happens if a student does not meet the attendance requirements?,Failure to meet attendance requirements will render a student ineligible to appear in the final examination of the concerned course.,
What types of sessions require 100% attendance?,Lectures labs tutorials seminars and discussions require 100% attendance.,
What kind of reasons might allow for condoned absence?,Genuine reasons such as illness might allow for condoned absence.,
Who decides if a student's absence can be condoned?,The course instructor decides if a student's absence can be condoned.,
Is there a specific percentage of lectures that can be missed?,Yes a maximum of 20% of the total lectures can be missed.,
What is the consequence of not meeting the attendance requirement?,The student will be ineligible to appear in the final examination of the concerned course.,
Can a student with 20% absences appear for the final examination?,No a student with 20% absences or more will be ineligible to appear for the final examination.,
What must students do to ensure eligibility for final exams?,Students must maintain 100% attendance as prescribed by the course instructor to ensure eligibility for final exams.,
What is the medium of instruction and examinations for all courses?,The medium of instruction and examinations for all courses is English (except language courses where it may be different).,
Are there any exceptions to the medium of instruction for certain courses?,Yes language courses may have a different medium of instruction.,
In which language can students answer the 'Religious and Islamic Studies' examination?,Students may opt to answer the 'Religious and Islamic Studies' examination in either English or Urdu.,
Can students use Urdu for any exams?,Yes students can use Urdu for the 'Religious and Islamic Studies' examination.,
Is English the only medium for all courses?,English is the medium for all courses except for language courses and 'Religious and Islamic Studies' where other options are available.,
Which courses allow for a different medium of instruction?,Language courses allow for a different medium of instruction.,
Can students choose between languages for 'Religious and Islamic Studies'?,Yes students can choose between English and Urdu for 'Religious and Islamic Studies'.,
What is the default medium of examination for all courses?,The default medium of examination for all courses is English.,
Are there specific courses where the medium of instruction might differ from English?,Yes language courses may have a different medium of instruction.,
How can students prepare for the 'Religious and Islamic Studies' exam in terms of language?,Students can prepare for the 'Religious and Islamic Studies' exam in either English or Urdu depending on their choice.,
When does the academic year of the university start and end?,The academic year starts in August-September and ends in May-June of the subsequent year.,
How many semesters are there in the academic year?,There are two regular semesters in the academic year.,
What are the names of the two regular semesters?,The two regular semesters are Fall and Spring.,
How long is each semester?,Each semester is 20 weeks long including the examination period.,
Does the academic year include examinations?,Yes the academic year includes examinations during the semesters.,
In which months does the academic year begin?,The academic year begins in August-September.,
In which months does the academic year end?,The academic year ends in May-June of the subsequent year.,
Are there any breaks between the semesters?,The provided text does not specify breaks between the semesters.,
How many weeks does each semester last?,Each semester lasts 20 weeks.,
Are the Fall and Spring semesters part of the academic year?,Yes the Fall and Spring semesters are part of the academic year.,
What does 1 credit hour mean for theory courses?,For theory courses 1 credit hour means 1 hour of lecturing per week.,
What does 1 credit hour mean for lab courses?,For lab courses 1 credit hour means 3 hours of lab-work per week.,
What is an example of a course with both lectures and lab-work?,A 3+1 credit hour course carries 3 hours of lectures and 3 hours of lab-work per week.,
What is the normal course load for undergraduate students?,The normal course load for undergraduate students is as prescribed in the study plan.,
How many hours of lecturing does a 3 credit hour theory course involve per week?,A 3 credit hour theory course involves 3 hours of lecturing per week.,
How many hours of lab-work does a 1 credit hour lab course involve per week?,A 1 credit hour lab course involves 3 hours of lab-work per week.,
What does a 3+1 credit hour course consist of?,A 3+1 credit hour course consists of 3 hours of lectures and 3 hours of lab-work per week.,
Is the course load for undergraduate students fixed or variable?,The course load for undergraduate students is as prescribed in the study plan and may vary.,
How are credit hours assigned to theory and lab courses?,Credit hours are assigned based on the number of hours of lecturing or lab-work per week.,
What does the study plan specify about course load?,The study plan specifies the normal course load for undergraduate students.,
How is student performance assessed during the semester?,Student performance is assessed through midterm exams assignments quizzes case studies or any other method considered appropriate by the course instructor and the University.,
What document is shared with students at the start of a course?,A course outline describing the course contents and grading criteria is shared with the students at the start of a course.,
What percentage of the final grade does semester work contribute?,Semester work normally contributes 50% towards the final grade.,
What percentage of the final grade does the final examination contribute?,The final examination contributes the remaining 50% of the total marks.,
How is a letter grade determined for a student?,A letter grade is awarded based on the student's overall academic performance in a course.,
What methods may be used to assess student performance?,Methods may include midterm exams assignments quizzes case studies or any other method considered appropriate by the course instructor and the University.,
Does the course outline include grading criteria?,Yes the course outline includes grading criteria.,
What are the two main components that contribute to the final grade?,The two main components are semester work and the final examination.,
Is the contribution of semester work and final examination equal in the final grade?,Yes both semester work and the final examination each contribute 50% to the final grade.,
Who determines the methods of assessment for a course?,The course instructor and the University determine the methods of assessment.,
What is the purpose of grade points?,Grade points are used for calculating the Grade Point Average (GPA).,
What is the grade point for an 'A' in BS & BBA programs?,The grade point for an 'A' in BS & BBA programs is 4.00.,
What grade points correspond to a 'C+' in BS & BBA programs?,The grade points corresponding to a 'C+' in BS & BBA programs are 2.33.,
What is the grade point for a 'B-' in BS & BBA programs?,The grade point for a 'B-' in BS & BBA programs is 2.67.,
What is the grade point for an 'F' in BS & BBA programs?,The grade point for an 'F' in BS & BBA programs is 0.00.,
What is the grade point for an 'A+' in MS & MBA programs?,The grade point for an 'A+' in MS & MBA programs is 4.00.,
What grade points correspond to a 'B-' in MS & MBA programs?,The grade points corresponding to a 'B-' in MS & MBA programs are 2.67.,
What is the grade point for an 'F' in MS & MBA programs?,The grade point for an 'F' in MS & MBA programs is 1.00.,
What is the grade point for an 'A' in PhD programs?,The grade point for an 'A' in PhD programs is 4.00.,
What grade points correspond to a 'B+' in PhD programs?,The grade points corresponding to a 'B+' in PhD programs are 3.33.,
What is the grade point for a 'C+' in BS & BBA programs?,The grade point for a 'C+' in BS & BBA programs is 2.33.,
What is the grade point for a 'D' in BS & BBA programs?,The grade point for a 'D' in BS & BBA programs is 1.00.,
What is the grade point for a 'B' in PhD programs?,The grade point for a 'B' in PhD programs is 3.00.,
What grade points correspond to an 'A-' in MS & MBA programs?,The grade points corresponding to an 'A-' in MS & MBA programs are 3.67.,
What is the grade point for a 'C' in MS & MBA programs?,The grade point for a 'C' in MS & MBA programs is 2.00.,
What does the grade 'FA' signify?,The grade 'FA' signifies Fail due to attendance shortage.,
What does the grade 'I' represent?,The grade 'I' represents Incomplete.,
Are 'W' and 'Ww' grades used in computing GPA?,No 'W' and 'Ww' grades are not used in computing GPA.,
What happens to an 'I' grade if course requirements are not completed?,An 'I' grade converts to an 'F' grade during the next semester if course requirements are not completed.,
In which cases is the 'CN' grade allowed?,The 'CN' grade is allowed only once in MS Thesis-II and in each of PhD Thesis I/II/III/IV.,
What grades are awarded for PhD Thesis work?,For PhD Thesis work grades S (Satisfactory) or U (Unsatisfactory) are awarded.,
Are S and U grades considered in GPA calculation for PhD Thesis work?,No S (Satisfactory) and U (Unsatisfactory) grades are not considered in GPA calculation for PhD Thesis work.,
What does 'W' stand for in grading?,W' stands for Withdrawn.,
What does the 'S' grade indicate?,The 'S' grade indicates Satisfactory.,
What does the 'U' grade represent?,The 'U' grade represents Unsatisfactory.,
What does the Grade Point Average (GPA) provide?,The GPA provides a continuous scale from 0.00 to 4.00 for grades earned.,
What are the two types of averages computed using grades obtained by the student?,The two types of averages are the Semester Grade Point Average (SGPA) and the Cumulative Grade Point Average (CGPA).,
What is the SGPA?,SGPA is the weighted average of grade points earned in a semester with weights based on the ratio of course credit hours to the total credit hours taken by the student in the semester.,
What is the CGPA?,CGPA is the weighted average of all the courses taken so far.,
What are the weights used to calculate SGPA?,The weights are taken as the ratio of course credit hours to the total credit hours taken by the student in the semester.,
How is the CGPA calculated?,The CGPA is calculated as the weighted average of all the courses taken so far.,
What happens to the grades of repeat courses in GPA calculation?,For repeat courses only the most recent grade points are used even if they are less than the earlier attempts.,
Can the GPA scale exceed 4.00?,No the GPA scale ranges from 0.00 to 4.00.,
What does SGPA stand for?,SGPA stands for Semester Grade Point Average.,
What does CGPA stand for?,CGPA stands for Cumulative Grade Point Average.,
What SGPA range qualifies an undergraduate student for the Dean's List?,An SGPA between 3.50 and 3.99 qualifies an undergraduate student for the Dean's List.,
What does a student receive if included in the Dean's List?,The student receives a Certificate and their name is placed on the University's website.,
Do students on the Dean's List need to meet any specific requirements?,Yes only those students who have completed the semester with the regular course load prescribed in the study plan are included in the Dean's List.,
Where is the name of a student on the Dean's List placed?,The name of the student is placed on the University's website.,
What is the minimum SGPA required for inclusion in the Dean's List?,The minimum SGPA required is 3.50.,
What is the maximum SGPA for inclusion in the Dean's List?,The maximum SGPA for inclusion is 3.99.,
Are students who do not complete the regular course load eligible for the Dean's List?,No students who do not complete the regular course load prescribed in the study plan are not eligible for the Dean's List.,
Is the Dean's List recognition based on semester performance or cumulative performance?,The Dean's List recognition is based on semester performance.,
What document is awarded to students on the Dean's List?,A Certificate is awarded to students on the Dean's List.,
How is the Dean's List recognition communicated to the public?,The Dean's List recognition is communicated by placing the student's name on the University's website.,
What SGPA qualifies an undergraduate student for the Rector's List?,An SGPA of 4.00 qualifies an undergraduate student for the Rector's List.,
What does a student receive if included in the Rector's List?,The student receives a Certificate and their name is placed on the University's website.,
Do students on the Rector's List need to meet any specific requirements?,Yes only those students who have completed the semester with the regular course load prescribed in the study plan are included in the Rector's List.,
Where is the name of a student on the Rector's List placed?,The name of the student is placed on the University's website.,
What is the minimum CGPA required to achieve 'Summa Cum Laude' honours?,A minimum CGPA of 3.90 is required to achieve 'Summa Cum Laude' honours.,
What is the CGPA range for 'Magna Cum Laude' honours?,The CGPA range for 'Magna Cum Laude' honours is 3.75 to 3.89.,
What CGPA qualifies a student for 'Cum Laude' honours?,A CGPA of 3.60 to 3.74 qualifies a student for 'Cum Laude' honours.,
What document is awarded to students on the Rector's List?,A Certificate is awarded to students on the Rector's List.,
How is the Rector's List recognition communicated to the public?,The Rector's List recognition is communicated by placing the student's name on the University's website.,
Are students who do not complete the regular course load eligible for the Rector's List?,No students who do not complete the regular course load prescribed in the study plan are not eligible for the Rector's List.,
What happens if a student's CGPA is less than the minimum required for graduation at the end of a semester?,A warning is issued if a student's CGPA is less than the minimum required for graduation.,
What is the minimum CGPA required to avoid academic warning in BS/BBA programs?,The minimum CGPA required to avoid academic warning in BS/BBA programs is 2.00.,
What is the minimum CGPA required to avoid academic warning in MS/MBA programs?,The minimum CGPA required to avoid academic warning in MS/MBA programs is 2.50.,
What is the minimum CGPA required to avoid academic warning in PhD programs?,The minimum CGPA required to avoid academic warning in PhD programs is 3.00.,
What must a student on academic warning obtain to register in desired courses?,A student on academic warning needs the approval of the Head of Department to register in desired courses.,
What happens if a student's CGPA remains below the minimum required after a semester?,If the CGPA remains below the minimum required after a semester the Warning Count increases by one.,
What is the consequence if a student's Warning Count reaches three?,If the Warning Count becomes three the student's admission to the University is closed.,
What happens to the Warning Count if a student's CGPA improves and meets or exceeds the required minimum?,If the CGPA improves and equals or exceeds the required minimum the Warning Count is reset to zero.,
Is the Warning Count increased every time a student is on academic warning?,Yes the Warning Count is increased by one each time the student's CGPA is below the required minimum after a semester.,
Can a student continue their studies if they reach a Warning Count of three?,No if the Warning Count reaches three the student's admission to the University is closed.,
Which semesters must students register for?,Students must register for Fall and Spring semesters.,
What must students do before registering for the semester?,Students must clear all previous fees and dues before registration.,
How should first semester students register?,First semester students should register through the Academic Office.,
How should all other students register?,All other students should register online.,
What should students do immediately after completing registration?,Students should pay current dues in full immediately after registration is complete.,
What should students on academic warning do regarding courses with grades of F or U?,Students on academic warning must register for all courses in which they received grades of F or U.,
What should students on academic warning do regarding courses with grades of D D+ or C-?,Students on academic warning should register for all courses in which they received grades of D D+ or C-.,
