input,output,instruction
Admission Procedure,"Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Applicant will deposit the Application Fee in the designated Bank. Fee is non-refundable/adjustable. Upon payment of the Application Processing Fee (and additional Admission Test Fee), the applicant will print his/her ADMIT CARD bearing the applicant’s TEST ROLL NUMBER. The applicant should then visit the test campus on the specified date and time as mentioned on the Admit card. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission. Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission.",
NU Online Admission Test for Graduate programs,"Information on various Admission Tests is available on the University’s admission web-siteadmissions.nu.edu.pk The online admission test is taken on a computer. The candidate should be familiar with the use of mouse and the keyboard. Each candidate is given a different examination. The sections of a test (English, Analytical skills, Math etc) appear in a random sequence. Moreover, questions related to different topics also appear before the candidate in a random sequence. In each section, a candidate can move forward and backwards to review the responses selected. The candidate can change his or her response to any question within the current section. Each section of the admission test has a fixed duration. Each section is timed independently and time saved in one section is not carried forward to the next sections. At the end of the test, a summary of the results is displayed on screen. The duration of the Online Admission Test is between two and three hours. Applicants should reach the test centre on the date and time specified on the admit card. Latecomers will not be allowed to take the test. Applicants should not bring anything to the test centre except their Admit Cards. No applicant will be allowed to take the test without an endorsed Admit Card. The Admission Test is held at all campuses of the University (Karachi, Lahore, Islamabad, and Peshawar).",
Selected Candidates Announcement,The selected candidates are informed through SMS on their cell phones and also via email. The candidates should check the status of their admission from the University web siteadmissions.nu.edu.pkorwww.nu.edu.pk.,
Foreign Nationals,"At the time of admission, foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan.",
GRE and SAT Examinations,"Those who have taken SAT examination can apply for admission to the undergraduate programs, i.e. BBA or BS. Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e. MS, MBA or PhD. Click here to Apply Online The Institution code for receiving SAT scores is 4575 The Institution code for receiving GRE scores is 7386",
What is the address for the Islamabad campus?,"A.K. Brohi Road, H-11/4",
What is the phone number for the Islamabad campus?,Tel: 111 128 128 or (051) 831 4100-29,
What is the fax number for the Islamabad campus?,Fax: (051) 410 0619,
What is the address for the Lahore campus?,"Block-B, Faisal Town",
What is the phone number for the Lahore campus?,Tel: 111 128 128 or (042) 516 5680-83,
What is the fax number for the Lahore campus?,Fax: (042) 516 5232,
What is the address for the Karachi City campus?,"22-G, Block-6, PECHS, Karachi.",
What is the phone number for the Karachi City campus?,Tel: (021) 343 90941-5,
What is the address for the Karachi Main campus?,Shah Latif Town (on National Highway),
What is the phone number for the Karachi Main campus?,Tel: 111 128 128 or (021) 341 00541-6,
